Suggested,Category,Name_of_Location,Address,Other_Notes,Lat,Long
Kristi,Dessert,Cha-An,"230 E 9th Street, Fl 2, New York, NY 10003",,40.729385,-73.988131
Kristi,Dessert,Grace Street,"17 W 32nd Street, New York, NY 10001",,40.74782,-73.986508
Kristi,Dessert,Alices Tea Cup Chapter II,"156 E 64th Street, New York, NY 10065",Can make Yelp reservations,40.765089,-73.965808
Kristi,Dessert,Laduree SoHo,"398 W Broadway, New York, NY 10012",,40.724329,-74.00235
Kristi,Dessert,Laduree Madison Ave,"864 Madison Ave, New York, NY, 10021",,40.770782,-73.96638
Kristi,Bakery,Levain Bakery,"167 W 74th Street, New York, NY 10023",,40.779943,-73.980362
Kristi,Bakery,Dominique Ansel Bakery,"189 Spring Street, New York, NY 10012",,40.725236,-74.00287
Kristi,Dessert,Taiyaki NYC,"119 Baxter Street, New York, NY 10013",,40.717857,-73.998842
Kristi,recreation,Central Park,"14 E 60th Street, New York, NY 10022",,40.764313,-73.971625
Kristi,recreation,The High Line,"820 Washington Street, New York NY 10014",,40.73972,-74.008461
Kristi,recreation,Chelsea Market,"75 9th Avenue, New York, NY 10011",,40.742227,-74.004466
Kristi,restaurant,Ichiran,"132 W 31st Street, New York, NY 10001",,40.748188,-73.990781
Kristi,restaurant,Artichoke Basilles Pizza,"321 E 14th Street, New York, NY 10003","Many locations in Manhattan: 114 10th Avenue, New York, NY 10011; 111 MacDougal Street, New York, NY 10012",40.732207,-73.983831
Kristi,restaurant,Burger & Lobster,"39 W 19th Street, New York, NY 10011","Other location:132 W 43rd Street, New York, NY 10036",40.74016,-73.993371
Sally,restaurant,Xian Famous Foods,So many locations in NY,They do delivery! Or 11:00 am - 8:30 pm,40.755737,-73.980851
Sally,recreation,The Met,"1000 Fifth Avenue New York, NY 10028",$25 // Sunday–Thursday: 10 am–5:30 pm* Friday and Saturday: 10 am–9 pm*,40.778284,-73.96253
Sally,Pictures,Grand Central Station,"89 E 42nd St, New York, NY 10017",Anytime,40.75239,-73.977782
Sally,Pictures,Flat Iron Building,"175 5th Ave, New York, NY 10010",Daytime preferred,40.740878,-73.989829
Sally,Pictures,Washington Square Arch,"Washington Square N, New York, NY 10012",Daytime preferred,40.73109,-73.997354
Sally,Pictures,Times Square,7th Ave between W46th St and W47th St,Anytime,40.759022,-73.984482
Sherman,restaurant,Very Fresh Noodles,425 W 15th St NY 10011,,40.74239,-74.00625
